imgs,segs
HGG\flair\patient259_slice107.png,HGG\seg\patient259_slice107.png
HGG\flair\patient132_slice089.png,HGG\seg\patient132_slice089.png
HGG\flair\patient108_slice073.png,HGG\seg\patient108_slice073.png
LGG\flair\patient017_slice107.png,LGG\seg\patient017_slice107.png
HGG\flair\patient038_slice098.png,HGG\seg\patient038_slice098.png
LGG\flair\patient057_slice108.png,LGG\seg\patient057_slice108.png
HGG\flair\patient077_slice088.png,HGG\seg\patient077_slice088.png
HGG\flair\patient154_slice081.png,HGG\seg\patient154_slice081.png
HGG\flair\patient055_slice110.png,HGG\seg\patient055_slice110.png
HGG\flair\patient199_slice072.png,HGG\seg\patient199_slice072.png
HGG\flair\patient146_slice086.png,HGG\seg\patient146_slice086.png
HGG\flair\patient027_slice070.png,HGG\seg\patient027_slice070.png
LGG\flair\patient045_slice092.png,LGG\seg\patient045_slice092.png
HGG\flair\patient074_slice077.png,HGG\seg\patient074_slice077.png
HGG\flair\patient192_slice102.png,HGG\seg\patient192_slice102.png
HGG\flair\patient255_slice077.png,HGG\seg\patient255_slice077.png
HGG\flair\patient189_slice076.png,HGG\seg\patient189_slice076.png
LGG\flair\patient070_slice096.png,LGG\seg\patient070_slice096.png
HGG\flair\patient018_slice087.png,HGG\seg\patient018_slice087.png
HGG\flair\patient244_slice098.png,HGG\seg\patient244_slice098.png
HGG\flair\patient068_slice097.png,HGG\seg\patient068_slice097.png
HGG\flair\patient236_slice116.png,HGG\seg\patient236_slice116.png
HGG\flair\patient214_slice071.png,HGG\seg\patient214_slice071.png
LGG\flair\patient054_slice114.png,LGG\seg\patient054_slice114.png
HGG\flair\patient076_slice073.png,HGG\seg\patient076_slice073.png
HGG\flair\patient137_slice097.png,HGG\seg\patient137_slice097.png
HGG\flair\patient163_slice080.png,HGG\seg\patient163_slice080.png
HGG\flair\patient044_slice082.png,HGG\seg\patient044_slice082.png
LGG\flair\patient014_slice108.png,LGG\seg\patient014_slice108.png
HGG\flair\patient148_slice086.png,HGG\seg\patient148_slice086.png
HGG\flair\patient111_slice085.png,HGG\seg\patient111_slice085.png
HGG\flair\patient089_slice109.png,HGG\seg\patient089_slice109.png
LGG\flair\patient053_slice094.png,LGG\seg\patient053_slice094.png
HGG\flair\patient246_slice094.png,HGG\seg\patient246_slice094.png
LGG\flair\patient015_slice090.png,LGG\seg\patient015_slice090.png
HGG\flair\patient236_slice112.png,HGG\seg\patient236_slice112.png
LGG\flair\patient051_slice085.png,LGG\seg\patient051_slice085.png
HGG\flair\patient097_slice082.png,HGG\seg\patient097_slice082.png
LGG\flair\patient038_slice079.png,LGG\seg\patient038_slice079.png
HGG\flair\patient202_slice080.png,HGG\seg\patient202_slice080.png
HGG\flair\patient237_slice101.png,HGG\seg\patient237_slice101.png
HGG\flair\patient107_slice096.png,HGG\seg\patient107_slice096.png
LGG\flair\patient007_slice076.png,LGG\seg\patient007_slice076.png
HGG\flair\patient191_slice096.png,HGG\seg\patient191_slice096.png
HGG\flair\patient141_slice086.png,HGG\seg\patient141_slice086.png
HGG\flair\patient234_slice103.png,HGG\seg\patient234_slice103.png
HGG\flair\patient197_slice112.png,HGG\seg\patient197_slice112.png
LGG\flair\patient074_slice090.png,LGG\seg\patient074_slice090.png
HGG\flair\patient108_slice107.png,HGG\seg\patient108_slice107.png
HGG\flair\patient148_slice081.png,HGG\seg\patient148_slice081.png
LGG\flair\patient063_slice107.png,LGG\seg\patient063_slice107.png
HGG\flair\patient243_slice103.png,HGG\seg\patient243_slice103.png
HGG\flair\patient164_slice071.png,HGG\seg\patient164_slice071.png
HGG\flair\patient022_slice080.png,HGG\seg\patient022_slice080.png
HGG\flair\patient175_slice103.png,HGG\seg\patient175_slice103.png
LGG\flair\patient023_slice096.png,LGG\seg\patient023_slice096.png
HGG\flair\patient181_slice097.png,HGG\seg\patient181_slice097.png
HGG\flair\patient243_slice101.png,HGG\seg\patient243_slice101.png
HGG\flair\patient039_slice070.png,HGG\seg\patient039_slice070.png
LGG\flair\patient038_slice093.png,LGG\seg\patient038_slice093.png
HGG\flair\patient058_slice112.png,HGG\seg\patient058_slice112.png
HGG\flair\patient019_slice073.png,HGG\seg\patient019_slice073.png
HGG\flair\patient015_slice076.png,HGG\seg\patient015_slice076.png
HGG\flair\patient055_slice070.png,HGG\seg\patient055_slice070.png
HGG\flair\patient097_slice078.png,HGG\seg\patient097_slice078.png
HGG\flair\patient062_slice111.png,HGG\seg\patient062_slice111.png
HGG\flair\patient054_slice092.png,HGG\seg\patient054_slice092.png
HGG\flair\patient012_slice084.png,HGG\seg\patient012_slice084.png
LGG\flair\patient071_slice076.png,LGG\seg\patient071_slice076.png
HGG\flair\patient057_slice096.png,HGG\seg\patient057_slice096.png
HGG\flair\patient154_slice084.png,HGG\seg\patient154_slice084.png
HGG\flair\patient012_slice079.png,HGG\seg\patient012_slice079.png
LGG\flair\patient056_slice085.png,LGG\seg\patient056_slice085.png
HGG\flair\patient130_slice089.png,HGG\seg\patient130_slice089.png
LGG\flair\patient017_slice091.png,LGG\seg\patient017_slice091.png
HGG\flair\patient132_slice103.png,HGG\seg\patient132_slice103.png
HGG\flair\patient045_slice103.png,HGG\seg\patient045_slice103.png
LGG\flair\patient075_slice115.png,LGG\seg\patient075_slice115.png
HGG\flair\patient114_slice104.png,HGG\seg\patient114_slice104.png
HGG\flair\patient172_slice095.png,HGG\seg\patient172_slice095.png
HGG\flair\patient079_slice106.png,HGG\seg\patient079_slice106.png
HGG\flair\patient058_slice108.png,HGG\seg\patient058_slice108.png
HGG\flair\patient120_slice093.png,HGG\seg\patient120_slice093.png
HGG\flair\patient236_slice071.png,HGG\seg\patient236_slice071.png
LGG\flair\patient060_slice095.png,LGG\seg\patient060_slice095.png
HGG\flair\patient036_slice111.png,HGG\seg\patient036_slice111.png
HGG\flair\patient152_slice089.png,HGG\seg\patient152_slice089.png
HGG\flair\patient195_slice080.png,HGG\seg\patient195_slice080.png
HGG\flair\patient216_slice096.png,HGG\seg\patient216_slice096.png
HGG\flair\patient012_slice111.png,HGG\seg\patient012_slice111.png
HGG\flair\patient195_slice088.png,HGG\seg\patient195_slice088.png
HGG\flair\patient063_slice092.png,HGG\seg\patient063_slice092.png
HGG\flair\patient094_slice071.png,HGG\seg\patient094_slice071.png
HGG\flair\patient153_slice097.png,HGG\seg\patient153_slice097.png
HGG\flair\patient124_slice086.png,HGG\seg\patient124_slice086.png
HGG\flair\patient144_slice083.png,HGG\seg\patient144_slice083.png
HGG\flair\patient006_slice082.png,HGG\seg\patient006_slice082.png
LGG\flair\patient063_slice079.png,LGG\seg\patient063_slice079.png
LGG\flair\patient059_slice083.png,LGG\seg\patient059_slice083.png
HGG\flair\patient025_slice115.png,HGG\seg\patient025_slice115.png
HGG\flair\patient054_slice101.png,HGG\seg\patient054_slice101.png
HGG\flair\patient021_slice072.png,HGG\seg\patient021_slice072.png
HGG\flair\patient137_slice084.png,HGG\seg\patient137_slice084.png
LGG\flair\patient015_slice096.png,LGG\seg\patient015_slice096.png
LGG\flair\patient024_slice114.png,LGG\seg\patient024_slice114.png
HGG\flair\patient220_slice089.png,HGG\seg\patient220_slice089.png
HGG\flair\patient216_slice076.png,HGG\seg\patient216_slice076.png
HGG\flair\patient194_slice106.png,HGG\seg\patient194_slice106.png
HGG\flair\patient239_slice084.png,HGG\seg\patient239_slice084.png
LGG\flair\patient071_slice084.png,LGG\seg\patient071_slice084.png
LGG\flair\patient075_slice088.png,LGG\seg\patient075_slice088.png
HGG\flair\patient088_slice070.png,HGG\seg\patient088_slice070.png
HGG\flair\patient131_slice094.png,HGG\seg\patient131_slice094.png
HGG\flair\patient174_slice095.png,HGG\seg\patient174_slice095.png
LGG\flair\patient072_slice094.png,LGG\seg\patient072_slice094.png
HGG\flair\patient228_slice093.png,HGG\seg\patient228_slice093.png
LGG\flair\patient050_slice086.png,LGG\seg\patient050_slice086.png
HGG\flair\patient053_slice078.png,HGG\seg\patient053_slice078.png
LGG\flair\patient074_slice098.png,LGG\seg\patient074_slice098.png
HGG\flair\patient094_slice091.png,HGG\seg\patient094_slice091.png
HGG\flair\patient042_slice083.png,HGG\seg\patient042_slice083.png
HGG\flair\patient057_slice082.png,HGG\seg\patient057_slice082.png
HGG\flair\patient053_slice101.png,HGG\seg\patient053_slice101.png
HGG\flair\patient122_slice076.png,HGG\seg\patient122_slice076.png
LGG\flair\patient041_slice070.png,LGG\seg\patient041_slice070.png
HGG\flair\patient060_slice097.png,HGG\seg\patient060_slice097.png
HGG\flair\patient184_slice077.png,HGG\seg\patient184_slice077.png
HGG\flair\patient124_slice088.png,HGG\seg\patient124_slice088.png
HGG\flair\patient181_slice103.png,HGG\seg\patient181_slice103.png
LGG\flair\patient071_slice080.png,LGG\seg\patient071_slice080.png
HGG\flair\patient153_slice091.png,HGG\seg\patient153_slice091.png
HGG\flair\patient047_slice097.png,HGG\seg\patient047_slice097.png
HGG\flair\patient239_slice091.png,HGG\seg\patient239_slice091.png
HGG\flair\patient017_slice081.png,HGG\seg\patient017_slice081.png
HGG\flair\patient188_slice089.png,HGG\seg\patient188_slice089.png
LGG\flair\patient014_slice105.png,LGG\seg\patient014_slice105.png
HGG\flair\patient033_slice099.png,HGG\seg\patient033_slice099.png
HGG\flair\patient108_slice086.png,HGG\seg\patient108_slice086.png
HGG\flair\patient035_slice097.png,HGG\seg\patient035_slice097.png
HGG\flair\patient144_slice093.png,HGG\seg\patient144_slice093.png
HGG\flair\patient109_slice099.png,HGG\seg\patient109_slice099.png
HGG\flair\patient239_slice090.png,HGG\seg\patient239_slice090.png
HGG\flair\patient159_slice099.png,HGG\seg\patient159_slice099.png
LGG\flair\patient014_slice101.png,LGG\seg\patient014_slice101.png
HGG\flair\patient114_slice083.png,HGG\seg\patient114_slice083.png
LGG\flair\patient063_slice090.png,LGG\seg\patient063_slice090.png
HGG\flair\patient056_slice094.png,HGG\seg\patient056_slice094.png
HGG\flair\patient079_slice097.png,HGG\seg\patient079_slice097.png
HGG\flair\patient051_slice072.png,HGG\seg\patient051_slice072.png
HGG\flair\patient138_slice100.png,HGG\seg\patient138_slice100.png
HGG\flair\patient049_slice092.png,HGG\seg\patient049_slice092.png
HGG\flair\patient109_slice085.png,HGG\seg\patient109_slice085.png
HGG\flair\patient125_slice079.png,HGG\seg\patient125_slice079.png
HGG\flair\patient146_slice074.png,HGG\seg\patient146_slice074.png
HGG\flair\patient025_slice089.png,HGG\seg\patient025_slice089.png
HGG\flair\patient207_slice092.png,HGG\seg\patient207_slice092.png
HGG\flair\patient054_slice096.png,HGG\seg\patient054_slice096.png
HGG\flair\patient108_slice081.png,HGG\seg\patient108_slice081.png
HGG\flair\patient036_slice078.png,HGG\seg\patient036_slice078.png
HGG\flair\patient117_slice077.png,HGG\seg\patient117_slice077.png
LGG\flair\patient031_slice070.png,LGG\seg\patient031_slice070.png
HGG\flair\patient168_slice072.png,HGG\seg\patient168_slice072.png
HGG\flair\patient122_slice082.png,HGG\seg\patient122_slice082.png
HGG\flair\patient217_slice081.png,HGG\seg\patient217_slice081.png
LGG\flair\patient022_slice107.png,LGG\seg\patient022_slice107.png
HGG\flair\patient078_slice119.png,HGG\seg\patient078_slice119.png
LGG\flair\patient005_slice106.png,LGG\seg\patient005_slice106.png
HGG\flair\patient126_slice077.png,HGG\seg\patient126_slice077.png
HGG\flair\patient212_slice084.png,HGG\seg\patient212_slice084.png
HGG\flair\patient127_slice105.png,HGG\seg\patient127_slice105.png
LGG\flair\patient024_slice113.png,LGG\seg\patient024_slice113.png
HGG\flair\patient179_slice114.png,HGG\seg\patient179_slice114.png
HGG\flair\patient225_slice114.png,HGG\seg\patient225_slice114.png
LGG\flair\patient008_slice084.png,LGG\seg\patient008_slice084.png
HGG\flair\patient077_slice073.png,HGG\seg\patient077_slice073.png
HGG\flair\patient155_slice080.png,HGG\seg\patient155_slice080.png
LGG\flair\patient033_slice082.png,LGG\seg\patient033_slice082.png
HGG\flair\patient201_slice114.png,HGG\seg\patient201_slice114.png
HGG\flair\patient193_slice082.png,HGG\seg\patient193_slice082.png
HGG\flair\patient175_slice085.png,HGG\seg\patient175_slice085.png
HGG\flair\patient006_slice097.png,HGG\seg\patient006_slice097.png
HGG\flair\patient029_slice092.png,HGG\seg\patient029_slice092.png
HGG\flair\patient159_slice112.png,HGG\seg\patient159_slice112.png
HGG\flair\patient076_slice085.png,HGG\seg\patient076_slice085.png
HGG\flair\patient143_slice077.png,HGG\seg\patient143_slice077.png
HGG\flair\patient106_slice093.png,HGG\seg\patient106_slice093.png
HGG\flair\patient109_slice076.png,HGG\seg\patient109_slice076.png
LGG\flair\patient074_slice109.png,LGG\seg\patient074_slice109.png
HGG\flair\patient238_slice111.png,HGG\seg\patient238_slice111.png
HGG\flair\patient006_slice110.png,HGG\seg\patient006_slice110.png
LGG\flair\patient036_slice075.png,LGG\seg\patient036_slice075.png
HGG\flair\patient030_slice103.png,HGG\seg\patient030_slice103.png
HGG\flair\patient062_slice107.png,HGG\seg\patient062_slice107.png
HGG\flair\patient176_slice076.png,HGG\seg\patient176_slice076.png
HGG\flair\patient250_slice115.png,HGG\seg\patient250_slice115.png
HGG\flair\patient163_slice071.png,HGG\seg\patient163_slice071.png
HGG\flair\patient172_slice073.png,HGG\seg\patient172_slice073.png
HGG\flair\patient152_slice084.png,HGG\seg\patient152_slice084.png
HGG\flair\patient004_slice083.png,HGG\seg\patient004_slice083.png
HGG\flair\patient228_slice096.png,HGG\seg\patient228_slice096.png
HGG\flair\patient236_slice080.png,HGG\seg\patient236_slice080.png
HGG\flair\patient064_slice081.png,HGG\seg\patient064_slice081.png
HGG\flair\patient057_slice104.png,HGG\seg\patient057_slice104.png
LGG\flair\patient043_slice117.png,LGG\seg\patient043_slice117.png
HGG\flair\patient097_slice085.png,HGG\seg\patient097_slice085.png
HGG\flair\patient109_slice073.png,HGG\seg\patient109_slice073.png
HGG\flair\patient102_slice083.png,HGG\seg\patient102_slice083.png
HGG\flair\patient183_slice108.png,HGG\seg\patient183_slice108.png
HGG\flair\patient170_slice113.png,HGG\seg\patient170_slice113.png
HGG\flair\patient189_slice074.png,HGG\seg\patient189_slice074.png
LGG\flair\patient029_slice092.png,LGG\seg\patient029_slice092.png
HGG\flair\patient198_slice102.png,HGG\seg\patient198_slice102.png
HGG\flair\patient164_slice107.png,HGG\seg\patient164_slice107.png
LGG\flair\patient023_slice110.png,LGG\seg\patient023_slice110.png
HGG\flair\patient008_slice103.png,HGG\seg\patient008_slice103.png
HGG\flair\patient038_slice093.png,HGG\seg\patient038_slice093.png
LGG\flair\patient015_slice093.png,LGG\seg\patient015_slice093.png
LGG\flair\patient023_slice105.png,LGG\seg\patient023_slice105.png
LGG\flair\patient033_slice110.png,LGG\seg\patient033_slice110.png
HGG\flair\patient172_slice089.png,HGG\seg\patient172_slice089.png
HGG\flair\patient062_slice080.png,HGG\seg\patient062_slice080.png
HGG\flair\patient137_slice072.png,HGG\seg\patient137_slice072.png
HGG\flair\patient044_slice078.png,HGG\seg\patient044_slice078.png
HGG\flair\patient036_slice119.png,HGG\seg\patient036_slice119.png
HGG\flair\patient058_slice104.png,HGG\seg\patient058_slice104.png
LGG\flair\patient006_slice081.png,LGG\seg\patient006_slice081.png
HGG\flair\patient127_slice073.png,HGG\seg\patient127_slice073.png
HGG\flair\patient035_slice099.png,HGG\seg\patient035_slice099.png
HGG\flair\patient038_slice073.png,HGG\seg\patient038_slice073.png
LGG\flair\patient036_slice081.png,LGG\seg\patient036_slice081.png
HGG\flair\patient030_slice100.png,HGG\seg\patient030_slice100.png
HGG\flair\patient062_slice077.png,HGG\seg\patient062_slice077.png
HGG\flair\patient144_slice098.png,HGG\seg\patient144_slice098.png
LGG\flair\patient054_slice095.png,LGG\seg\patient054_slice095.png
HGG\flair\patient066_slice088.png,HGG\seg\patient066_slice088.png
HGG\flair\patient240_slice082.png,HGG\seg\patient240_slice082.png
LGG\flair\patient056_slice106.png,LGG\seg\patient056_slice106.png
HGG\flair\patient130_slice119.png,HGG\seg\patient130_slice119.png
HGG\flair\patient078_slice112.png,HGG\seg\patient078_slice112.png
HGG\flair\patient038_slice085.png,HGG\seg\patient038_slice085.png
HGG\flair\patient217_slice082.png,HGG\seg\patient217_slice082.png
LGG\flair\patient071_slice119.png,LGG\seg\patient071_slice119.png
LGG\flair\patient009_slice083.png,LGG\seg\patient009_slice083.png
HGG\flair\patient029_slice072.png,HGG\seg\patient029_slice072.png
HGG\flair\patient148_slice079.png,HGG\seg\patient148_slice079.png
HGG\flair\patient254_slice085.png,HGG\seg\patient254_slice085.png
HGG\flair\patient227_slice088.png,HGG\seg\patient227_slice088.png
HGG\flair\patient074_slice118.png,HGG\seg\patient074_slice118.png
LGG\flair\patient063_slice119.png,LGG\seg\patient063_slice119.png
HGG\flair\patient148_slice083.png,HGG\seg\patient148_slice083.png
HGG\flair\patient057_slice084.png,HGG\seg\patient057_slice084.png
LGG\flair\patient071_slice077.png,LGG\seg\patient071_slice077.png
LGG\flair\patient043_slice116.png,LGG\seg\patient043_slice116.png
HGG\flair\patient079_slice111.png,HGG\seg\patient079_slice111.png
HGG\flair\patient107_slice112.png,HGG\seg\patient107_slice112.png
HGG\flair\patient247_slice073.png,HGG\seg\patient247_slice073.png
HGG\flair\patient239_slice095.png,HGG\seg\patient239_slice095.png
LGG\flair\patient010_slice070.png,LGG\seg\patient010_slice070.png
LGG\flair\patient038_slice082.png,LGG\seg\patient038_slice082.png
HGG\flair\patient023_slice085.png,HGG\seg\patient023_slice085.png
HGG\flair\patient003_slice100.png,HGG\seg\patient003_slice100.png
HGG\flair\patient106_slice115.png,HGG\seg\patient106_slice115.png
LGG\flair\patient011_slice076.png,LGG\seg\patient011_slice076.png
HGG\flair\patient216_slice116.png,HGG\seg\patient216_slice116.png
LGG\flair\patient057_slice107.png,LGG\seg\patient057_slice107.png
HGG\flair\patient082_slice114.png,HGG\seg\patient082_slice114.png
HGG\flair\patient256_slice088.png,HGG\seg\patient256_slice088.png
HGG\flair\patient090_slice077.png,HGG\seg\patient090_slice077.png
HGG\flair\patient246_slice088.png,HGG\seg\patient246_slice088.png
LGG\flair\patient021_slice095.png,LGG\seg\patient021_slice095.png
HGG\flair\patient251_slice070.png,HGG\seg\patient251_slice070.png
HGG\flair\patient103_slice114.png,HGG\seg\patient103_slice114.png
HGG\flair\patient173_slice072.png,HGG\seg\patient173_slice072.png
LGG\flair\patient057_slice098.png,LGG\seg\patient057_slice098.png
LGG\flair\patient072_slice093.png,LGG\seg\patient072_slice093.png
HGG\flair\patient194_slice117.png,HGG\seg\patient194_slice117.png
HGG\flair\patient189_slice101.png,HGG\seg\patient189_slice101.png
HGG\flair\patient061_slice081.png,HGG\seg\patient061_slice081.png
LGG\flair\patient030_slice076.png,LGG\seg\patient030_slice076.png
HGG\flair\patient150_slice090.png,HGG\seg\patient150_slice090.png
HGG\flair\patient241_slice089.png,HGG\seg\patient241_slice089.png
HGG\flair\patient226_slice118.png,HGG\seg\patient226_slice118.png
HGG\flair\patient234_slice071.png,HGG\seg\patient234_slice071.png
HGG\flair\patient070_slice078.png,HGG\seg\patient070_slice078.png
HGG\flair\patient250_slice092.png,HGG\seg\patient250_slice092.png
LGG\flair\patient019_slice076.png,LGG\seg\patient019_slice076.png
HGG\flair\patient001_slice089.png,HGG\seg\patient001_slice089.png
HGG\flair\patient127_slice096.png,HGG\seg\patient127_slice096.png
HGG\flair\patient256_slice114.png,HGG\seg\patient256_slice114.png
LGG\flair\patient049_slice102.png,LGG\seg\patient049_slice102.png
LGG\flair\patient063_slice073.png,LGG\seg\patient063_slice073.png
HGG\flair\patient131_slice074.png,HGG\seg\patient131_slice074.png
HGG\flair\patient254_slice080.png,HGG\seg\patient254_slice080.png
LGG\flair\patient071_slice118.png,LGG\seg\patient071_slice118.png
LGG\flair\patient052_slice101.png,LGG\seg\patient052_slice101.png
LGG\flair\patient044_slice104.png,LGG\seg\patient044_slice104.png
HGG\flair\patient259_slice087.png,HGG\seg\patient259_slice087.png
HGG\flair\patient054_slice116.png,HGG\seg\patient054_slice116.png
HGG\flair\patient060_slice093.png,HGG\seg\patient060_slice093.png
HGG\flair\patient145_slice076.png,HGG\seg\patient145_slice076.png
HGG\flair\patient235_slice103.png,HGG\seg\patient235_slice103.png
HGG\flair\patient118_slice091.png,HGG\seg\patient118_slice091.png
HGG\flair\patient053_slice094.png,HGG\seg\patient053_slice094.png
HGG\flair\patient057_slice085.png,HGG\seg\patient057_slice085.png
HGG\flair\patient235_slice105.png,HGG\seg\patient235_slice105.png
LGG\flair\patient023_slice080.png,LGG\seg\patient023_slice080.png
HGG\flair\patient226_slice093.png,HGG\seg\patient226_slice093.png
HGG\flair\patient006_slice085.png,HGG\seg\patient006_slice085.png
HGG\flair\patient222_slice072.png,HGG\seg\patient222_slice072.png
HGG\flair\patient137_slice088.png,HGG\seg\patient137_slice088.png
HGG\flair\patient066_slice092.png,HGG\seg\patient066_slice092.png
LGG\flair\patient062_slice082.png,LGG\seg\patient062_slice082.png
LGG\flair\patient063_slice087.png,LGG\seg\patient063_slice087.png
HGG\flair\patient217_slice079.png,HGG\seg\patient217_slice079.png
HGG\flair\patient049_slice095.png,HGG\seg\patient049_slice095.png
HGG\flair\patient071_slice086.png,HGG\seg\patient071_slice086.png
LGG\flair\patient066_slice102.png,LGG\seg\patient066_slice102.png
HGG\flair\patient045_slice111.png,HGG\seg\patient045_slice111.png
HGG\flair\patient080_slice080.png,HGG\seg\patient080_slice080.png
HGG\flair\patient090_slice078.png,HGG\seg\patient090_slice078.png
HGG\flair\patient071_slice085.png,HGG\seg\patient071_slice085.png
LGG\flair\patient044_slice119.png,LGG\seg\patient044_slice119.png
HGG\flair\patient044_slice091.png,HGG\seg\patient044_slice091.png
HGG\flair\patient232_slice093.png,HGG\seg\patient232_slice093.png
HGG\flair\patient044_slice106.png,HGG\seg\patient044_slice106.png
HGG\flair\patient075_slice082.png,HGG\seg\patient075_slice082.png
HGG\flair\patient020_slice116.png,HGG\seg\patient020_slice116.png
HGG\flair\patient010_slice070.png,HGG\seg\patient010_slice070.png
HGG\flair\patient166_slice113.png,HGG\seg\patient166_slice113.png
HGG\flair\patient074_slice075.png,HGG\seg\patient074_slice075.png
LGG\flair\patient045_slice089.png,LGG\seg\patient045_slice089.png
HGG\flair\patient153_slice106.png,HGG\seg\patient153_slice106.png
HGG\flair\patient180_slice108.png,HGG\seg\patient180_slice108.png
LGG\flair\patient033_slice094.png,LGG\seg\patient033_slice094.png
HGG\flair\patient011_slice074.png,HGG\seg\patient011_slice074.png
HGG\flair\patient226_slice116.png,HGG\seg\patient226_slice116.png
LGG\flair\patient053_slice115.png,LGG\seg\patient053_slice115.png
LGG\flair\patient062_slice100.png,LGG\seg\patient062_slice100.png
HGG\flair\patient159_slice105.png,HGG\seg\patient159_slice105.png
HGG\flair\patient164_slice081.png,HGG\seg\patient164_slice081.png
HGG\flair\patient036_slice113.png,HGG\seg\patient036_slice113.png
LGG\flair\patient019_slice114.png,LGG\seg\patient019_slice114.png
HGG\flair\patient197_slice085.png,HGG\seg\patient197_slice085.png
HGG\flair\patient242_slice096.png,HGG\seg\patient242_slice096.png
LGG\flair\patient048_slice077.png,LGG\seg\patient048_slice077.png
HGG\flair\patient214_slice078.png,HGG\seg\patient214_slice078.png
HGG\flair\patient163_slice098.png,HGG\seg\patient163_slice098.png
HGG\flair\patient216_slice118.png,HGG\seg\patient216_slice118.png
HGG\flair\patient066_slice109.png,HGG\seg\patient066_slice109.png
HGG\flair\patient258_slice093.png,HGG\seg\patient258_slice093.png
HGG\flair\patient121_slice097.png,HGG\seg\patient121_slice097.png
HGG\flair\patient189_slice084.png,HGG\seg\patient189_slice084.png
HGG\flair\patient106_slice075.png,HGG\seg\patient106_slice075.png
HGG\flair\patient125_slice096.png,HGG\seg\patient125_slice096.png
LGG\flair\patient013_slice084.png,LGG\seg\patient013_slice084.png
HGG\flair\patient197_slice072.png,HGG\seg\patient197_slice072.png
HGG\flair\patient069_slice103.png,HGG\seg\patient069_slice103.png
LGG\flair\patient001_slice077.png,LGG\seg\patient001_slice077.png
HGG\flair\patient049_slice105.png,HGG\seg\patient049_slice105.png
LGG\flair\patient037_slice078.png,LGG\seg\patient037_slice078.png
HGG\flair\patient257_slice092.png,HGG\seg\patient257_slice092.png
LGG\flair\patient060_slice113.png,LGG\seg\patient060_slice113.png
HGG\flair\patient206_slice096.png,HGG\seg\patient206_slice096.png
HGG\flair\patient062_slice082.png,HGG\seg\patient062_slice082.png
HGG\flair\patient148_slice077.png,HGG\seg\patient148_slice077.png
HGG\flair\patient049_slice107.png,HGG\seg\patient049_slice107.png
HGG\flair\patient026_slice105.png,HGG\seg\patient026_slice105.png
HGG\flair\patient234_slice098.png,HGG\seg\patient234_slice098.png
HGG\flair\patient125_slice088.png,HGG\seg\patient125_slice088.png
HGG\flair\patient074_slice109.png,HGG\seg\patient074_slice109.png
HGG\flair\patient238_slice079.png,HGG\seg\patient238_slice079.png
HGG\flair\patient154_slice090.png,HGG\seg\patient154_slice090.png
HGG\flair\patient256_slice104.png,HGG\seg\patient256_slice104.png
HGG\flair\patient253_slice087.png,HGG\seg\patient253_slice087.png
LGG\flair\patient071_slice072.png,LGG\seg\patient071_slice072.png
HGG\flair\patient179_slice084.png,HGG\seg\patient179_slice084.png
LGG\flair\patient021_slice071.png,LGG\seg\patient021_slice071.png
HGG\flair\patient010_slice078.png,HGG\seg\patient010_slice078.png
HGG\flair\patient044_slice110.png,HGG\seg\patient044_slice110.png
HGG\flair\patient079_slice102.png,HGG\seg\patient079_slice102.png
HGG\flair\patient096_slice091.png,HGG\seg\patient096_slice091.png
LGG\flair\patient008_slice071.png,LGG\seg\patient008_slice071.png
HGG\flair\patient225_slice110.png,HGG\seg\patient225_slice110.png
HGG\flair\patient236_slice082.png,HGG\seg\patient236_slice082.png
LGG\flair\patient033_slice102.png,LGG\seg\patient033_slice102.png
HGG\flair\patient060_slice104.png,HGG\seg\patient060_slice104.png
HGG\flair\patient163_slice101.png,HGG\seg\patient163_slice101.png
LGG\flair\patient011_slice110.png,LGG\seg\patient011_slice110.png
HGG\flair\patient084_slice081.png,HGG\seg\patient084_slice081.png
HGG\flair\patient049_slice078.png,HGG\seg\patient049_slice078.png
HGG\flair\patient083_slice079.png,HGG\seg\patient083_slice079.png
LGG\flair\patient010_slice078.png,LGG\seg\patient010_slice078.png
HGG\flair\patient089_slice105.png,HGG\seg\patient089_slice105.png
LGG\flair\patient066_slice095.png,LGG\seg\patient066_slice095.png
HGG\flair\patient005_slice107.png,HGG\seg\patient005_slice107.png
HGG\flair\patient082_slice079.png,HGG\seg\patient082_slice079.png
HGG\flair\patient215_slice093.png,HGG\seg\patient215_slice093.png
HGG\flair\patient077_slice087.png,HGG\seg\patient077_slice087.png
LGG\flair\patient053_slice098.png,LGG\seg\patient053_slice098.png
HGG\flair\patient100_slice074.png,HGG\seg\patient100_slice074.png
HGG\flair\patient221_slice097.png,HGG\seg\patient221_slice097.png
HGG\flair\patient182_slice084.png,HGG\seg\patient182_slice084.png
HGG\flair\patient016_slice082.png,HGG\seg\patient016_slice082.png
HGG\flair\patient235_slice082.png,HGG\seg\patient235_slice082.png
HGG\flair\patient224_slice109.png,HGG\seg\patient224_slice109.png
LGG\flair\patient013_slice104.png,LGG\seg\patient013_slice104.png
HGG\flair\patient014_slice114.png,HGG\seg\patient014_slice114.png
HGG\flair\patient189_slice073.png,HGG\seg\patient189_slice073.png
HGG\flair\patient157_slice103.png,HGG\seg\patient157_slice103.png
HGG\flair\patient066_slice106.png,HGG\seg\patient066_slice106.png
LGG\flair\patient019_slice082.png,LGG\seg\patient019_slice082.png
